source_table	program	before	after	delta	proxy	dataset	cell_type	target	n_cells	n_genes	perturbation	n_sig_fdr	n_program_genes	mean_abs_Z	mean_FC	network_score
network_summary	TGFb_fibrosis					GSE154778_primary	fibroblast_CAF	MARCKS			KO	2	10.0	0.738753157582027	2.67734021875216	3.51429645455326
network_summary	endothelial					GSE154778_primary	fibroblast_CAF	MARCKS			OE	0	10.0	0.825321282588973	0.391521473751632	0.0437545500676057
network_summary	CAF_ECM					GSE154778_primary	fibroblast_CAF	MARCKS			OE	0	8.0	0.725132218518403	0.394241619384535	4.7444911354422e-14
network_summary	myeloid_inflammation					GSE154778_primary	fibroblast_CAF	MARCKS			OE	0	10.0	1.24627397038195	0.0070247468720691	5.930613919302761e-14
network_summary	cytotoxic_TNK					GSE154778_primary	fibroblast_CAF	MARCKS			OE	0	7.0	1.21449007360529	0.0044234317763557	4.15142974351193e-14
network_summary	T_exhaustion					GSE154778_primary	fibroblast_CAF	MARCKS			OE	0	7.0	1.31367412067045	5.37385776264034e-27	4.15142974351193e-14
network_summary	TNF_NFkB					GSE154778_primary	fibroblast_CAF	MARCKS			OE	0	8.0	1.25168314818666	0.114484488350875	4.7444911354422e-14
network_summary	angiogenesis					GSE154778_primary	fibroblast_CAF	MARCKS			OE	0	7.0	0.99184812929921	0.440845164808714	0.043754550067588
network_summary	TGFb_fibrosis					GSE154778_primary	fibroblast_CAF	MARCKS			OE	0	10.0	1.01467231298121	0.364484841465251	0.0598084377215916
network_summary	endothelial					GSE154778_primary	fibroblast_CAF	TACC1			KO	7	10.0	1.38579504814089	12.1917767985349	19.9882975140589
network_summary	CAF_ECM					GSE154778_primary	fibroblast_CAF	TACC1			KO	0	8.0	0.409288785153585	0.346215922306858	1.67792979180276e-13
network_summary	myeloid_inflammation					GSE154778_primary	fibroblast_CAF	TACC1			KO	0	10.0	1.2230384237943	0.699179954592344	0.571788093714481
network_summary	cytotoxic_TNK					GSE154778_primary	fibroblast_CAF	TACC1			KO	0	7.0	1.53098292512834	0.645068121798625	0.238256772089824
network_summary	T_exhaustion					GSE154778_primary	fibroblast_CAF	TACC1			KO	0	7.0	1.54148424764491	0.0879143305543715	1.46818856782741e-13
network_summary	TNF_NFkB					GSE154778_primary	fibroblast_CAF	TACC1			KO	0	8.0	1.00011515279693	0.634129920600835	1.67792979180276e-13
network_summary	angiogenesis					GSE154778_primary	fibroblast_CAF	TACC1			KO	3	7.0	1.2888968925297	7.79890379962702	8.40063821921621
network_summary	TGFb_fibrosis					GSE154778_primary	fibroblast_CAF	TACC1			KO	0	10.0	0.587141997710774	0.485714670529698	2.09741223975345e-13
network_summary	endothelial					GSE154778_primary	fibroblast_CAF	TACC1			OE	0	10.0	0.856208309545358	0.679538680460481	0.179504213034102
network_summary	CAF_ECM					GSE154778_primary	fibroblast_CAF	TACC1			OE	0	8.0	0.754889571069006	0.943628689357337	0.250396703014101
network_summary	myeloid_inflammation					GSE154778_primary	fibroblast_CAF	TACC1			OE	0	10.0	1.26881572295498	0.067650152474851	9.35397642556699e-14
network_summary	cytotoxic_TNK					GSE154778_primary	fibroblast_CAF	TACC1			OE	0	7.0	1.21805690090103	0.0075258307094809	6.54778349789689e-14
network_summary	T_exhaustion					GSE154778_primary	fibroblast_CAF	TACC1			OE	0	7.0	1.31432222255514	1.67279699001003e-26	6.54778349789689e-14
network_summary	TNF_NFkB					GSE154778_primary	fibroblast_CAF	TACC1			OE	0	8.0	1.23983148782384	0.0254679563894403	7.48318114045359e-14
network_summary	angiogenesis					GSE154778_primary	fibroblast_CAF	TACC1			OE	0	7.0	0.994257498392126	0.728956394741457	0.179504213034074
network_summary	TGFb_fibrosis					GSE154778_primary	fibroblast_CAF	TACC1			OE	0	10.0	1.01899562870576	0.455489526887156	0.185016246888034
network_summary	endothelial					GSE154778_primary	myeloid	EPAS1			KO	1	10.0	1.55994651667804	2.4194645117234	3.52549709083085
network_summary	CAF_ECM					GSE154778_primary	myeloid	EPAS1			KO	0	8.0	0.518958285114038	0.428697649145055	0.113000099184096
network_summary	myeloid_inflammation					GSE154778_primary	myeloid	EPAS1			KO	0	10.0	0.817594535086199	0.595272063768933	0.113061211338283
network_summary	cytotoxic_TNK					GSE154778_primary	myeloid	EPAS1			KO	0	7.0	1.09379372821559	0.0309379684716999	0.0002138925396537
network_summary	T_exhaustion					GSE154778_primary	myeloid	EPAS1			KO	0	7.0	1.23443296106419	0.0002257215348079	0.0002138925396537
network_summary	TNF_NFkB					GSE154778_primary	myeloid	EPAS1			KO	1	8.0	0.769720005740345	1.32436234294798	1.48836715258005
