direction	source	target	ligand	receptor	pathway_name	n_datasets	datasets	mean_prob	min_p
from_endothelial	endothelial	fibroblast_CAF	COL4A2	SDC1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0001928934517781	0.0
from_endothelial	endothelial	epithelial	LAMB1	ITGA2_ITGB1	LAMININ	3	GSE154778,GSE155698,GSE212966	0.0001927781688704	0.0
to_endothelial	fibroblast_CAF	endothelial	MDK	NCL	MK	3	GSE154778,GSE155698,GSE212966	0.0001925791212016	0.0
from_endothelial	endothelial	epithelial	LAMB1	ITGA3_ITGB1	LAMININ	3	GSE154778,GSE155698,GSE212966	0.000192409854067	0.0
from_endothelial	endothelial	epithelial	FN1	SDC4	FN1	3	GSE154778,GSE155698,GSE212966	0.0001914425764141	0.0
from_endothelial	endothelial	epithelial	LAMB1	ITGA6_ITGB1	LAMININ	3	GSE154778,GSE155698,GSE212966	0.0001912328853243	0.0
from_endothelial	endothelial	malignant_epithelial	LAMB1	CD44	LAMININ	3	GSE154778,GSE155698,GSE212966	0.0001903197503113	0.0
from_endothelial	endothelial	myeloid	LAMC1	CD44	LAMININ	3	GSE154778,GSE155698,GSE212966	0.0001894639353334	0.0
to_endothelial	endothelial	endothelial	LAMB1	ITGA1_ITGB1	LAMININ	3	GSE154778,GSE155698,GSE212966	0.0001864892901214	0.0
from_endothelial	endothelial	endothelial	LAMB1	ITGA1_ITGB1	LAMININ	3	GSE154778,GSE155698,GSE212966	0.0001864892901214	0.0
to_endothelial	endothelial	endothelial	COL4A1	ITGA3_ITGB1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0001860148649251	0.0
from_endothelial	endothelial	endothelial	COL4A1	ITGA3_ITGB1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0001860148649251	0.0
to_endothelial	endothelial	endothelial	COL4A2	ITGA10_ITGB1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0001836519013277	0.0
from_endothelial	endothelial	endothelial	COL4A2	ITGA10_ITGB1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0001836519013277	0.0
to_endothelial	myeloid	endothelial	SPP1	ITGA9_ITGB1	SPP1	3	GSE154778,GSE155698,GSE212966	0.0001834320176729	0.0
from_endothelial	endothelial	T_NK	LAMC1	CD44	LAMININ	3	GSE154778,GSE155698,GSE212966	0.0001824562009955	0.0
from_endothelial	endothelial	myeloid	CD99	PILRA	CD99	3	GSE154778,GSE155698,GSE212966	0.0001816108143191	0.0
from_endothelial	endothelial	T_NK	LAMA4	CD44	LAMININ	3	GSE154778,GSE155698,GSE212966	0.0001811176151706	0.0
to_endothelial	fibroblast_CAF	endothelial	COL6A1	ITGA9_ITGB1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.000179195309252	0.0
from_endothelial	endothelial	fibroblast_CAF	COL4A2	CD44	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0001764289843684	0.0
